Timestamp,Šifra / ime,1. Verjetno bi ta sistem ponovno uporabil.,"2. Sistemu zaupam, da deluje korektno.",3. Sistem sem uporabljal samozavestno.,4. Sistem je uporaben v praksi.,5. Brez težav sem dosegel cilj pogovora,6. Sistem mi je kot sogovorniku dal dober občutek.,7. Sistem mi je dal občutek nadzora.,8. Kvaliteta delovanja sistema je zadostna in še ga bom uporabil.,9. Sistem je dobro organiziran in logičen.,10. Sistem je uporabljal vsakdanje besede.,11. Sistem se je zdel vljuden.,12. Hitrost govora je bila primerna in lahko sem ga sledil.,13. Glas sistema je bil prijeten.,14. Sistem se je zdel prijeten.,15. Sistem se je glede na način govora zdel profesionalen. ,16. Sistem je bil prijazen.,17. Sistem je bil vljuden.,18. Glas sistema je zvenel kot običajna oseba.,19. Glas sistema je zvenel naravno.,20. Glas sistema je zvenel entuziastično oziroma energično.,21. Glas sistema je zvenel kot glas televizije ali radia. ,"22. Zdelo se mi je, da sem moral predolgo čakati, da je sistem nehal govoriti, zato da sem lahko odgovoril.",23. Sporočila so se ponavljala.,24. Sistem je ponudil več podrobnosti kot sem jih potreboval.,25. Sistem je bil preveč zgovoren.
12/16/2020 9:07:16,63160281,5,7,5,7,4,4,2,3,3,6,7,7,7,6,7,7,7,7,7,2,6,5,5,2,4
12/16/2020 9:12:06,63200478,4,4,4,4,2,2,2,2,3,3,4,4,4,2,6,6,6,2,4,2,3,4,3,3,3
12/16/2020 9:14:09,63200433,4,4,6,6,3,5,4,4,2,6,6,6,6,5,5,6,6,3,3,1,1,6,2,6,6
12/16/2020 9:14:44,63160261,3,6,5,5,6,5,5,3,5,6,7,5,4,5,7,7,7,4,5,5,5,6,6,3,4
12/16/2020 9:16:04,63200430,5,3,5,5,3,5,5,5,5,6,6,5,5,6,6,6,6,3,3,4,3,5,3,3,3
12/16/2020 9:16:20,63200432,5,3,6,6,3,3,2,2,4,5,4,6,5,4,5,4,4,3,3,4,4,5,5,3,3
12/16/2020 9:16:33,63200431,5,2,6,5,6,6,5,2,3,7,7,7,7,7,7,6,5,4,3,3,7,7,5,6,5
12/16/2020 9:19:41,63200477,6,6,5,6,5,6,6,5,7,7,7,7,6,6,7,7,7,3,3,2,4,2,2,3,2
12/16/2020 9:19:48,63200480,4,6,4,5,6,7,7,3,4,7,7,7,7,7,7,7,7,3,3,5,3,7,7,2,4
12/16/2020 9:22:05,Aljaž,7,6,7,6,5,6,4,6,6,6,7,6,7,7,7,7,7,6,7,5,6,5,2,6,5
12/15/2021 18:15:43,63210501,5,3,4,4,2,5,3,4,5,7,7,7,6,5,6,6,6,4,4,5,2,5,6,5,5
12/15/2021 18:18:42,63210506,5,3,5,2,1,4,6,3,5,7,5,7,7,2,7,5,5,5,5,1,1,7,5,3,3
12/15/2021 18:34:53,63170196,1,4,5,3,5,3,5,3,2,6,5,3,2,6,5,4,3,2,1,7,6,5,4,3,2
12/22/2021 17:28:24,63210483,7,5,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,3,5,4,4,6,2,5,5
12/22/2021 17:28:46,63210503,7,7,7,6,7,6,5,6,6,6,7,6,7,6,6,6,6,5,5,5,5,5,3,5,6
12/22/2021 17:29:54,63210505,6,6,7,5,5,6,6,5,6,6,7,7,7,7,6,7,7,7,7,7,2,3,2,6,4
12/22/2021 17:31:37,63180441,5,3,6,4,3,4,5,5,6,6,6,7,5,5,3,4,5,4,3,3,2,6,6,5,5
12/22/2021 17:33:01,63210502,7,4,5,5,5,4,4,4,4,6,6,7,7,5,5,7,7,3,2,5,6,5,5,6,4
12/22/2021 17:45:30,63210499,3,3,5,5,3,4,3,3,4,5,7,7,5,5,6,6,6,3,1,4,6,3,2,3,3
12/22/2021 17:45:35,63210488,5,5,6,5,5,5,5,5,5,7,7,5,5,6,6,6,6,3,3,2,3,6,6,4,5
12/22/2021 17:46:08,Eva V,3,2,5,3,3,2,5,5,3,4,4,2,4,3,6,5,5,7,5,6,2,7,5,4,5
12/22/2021 17:48:51,63210504,4,6,2,2,6,4,3,2,6,7,6,7,4,4,3,4,6,4,4,2,1,7,5,6,3
1/16/2022 23:45:17,Jure Tič,5,3,4,5,5,2,7,3,6,6,7,7,7,6,7,7,7,7,6,7,1,3,3,1,5
